order_id,customer_id,product_id,quantity,unit_price,order_date,status
DF4139FA-E84,17C4D471,PROD-0089,1,53.26,2026-01-06 01:42:42,completed
6FF50F03-87C,F54C44FA,PROD-0037,4,406.89,2025-07-19 14:53:19,completed
CC1656C2-A4E,A7A25DB2,PROD-0088,5,194.18,2025-12-23 18:33:48,cancelled
1345A80F-792,0CE39142,PROD-0026,2,1064.13,2025-06-30 13:39:41,cancelled
24CC4B0B-7C9,24C66978,PROD-0020,2,73.64,2026-01-31 13:00:06,completed
F43E182A-23A,25DD5752,PROD-0008,5,334.5,2025-10-03 13:48:05,cancelled
2C0C56C2-E6B,5C5FBDBB,PROD-0073,1,208.8,2025-07-13 12:24:16,pending
A45B1CAF-2B2,DC79435A,PROD-0089,3,53.26,2025-07-18 16:43:08,shipped
09D54EDC-540,9EB077C1,PROD-0070,5,811.0,2026-02-21 16:41:26,completed
B90EC7A8-641,2F2CDC5F,PROD-0056,3,428.84,2025-07-04 15:53:55,completed
8FE2DC4C-B80,CF9E4C0D,PROD-0012,5,583.19,2025-07-10 05:04:21,shipped
3A213C79-1D2,71422632,PROD-0003,3,1002.23,2026-02-11 23:28:13,shipped
04AD3823-D1F,16AB4380,PROD-0006,4,772.55,2025-09-30 16:52:42,shipped
7ED85686-4B8,0B8E9B8A,PROD-0084,2,79.51,2025-04-30 10:33:34,shipped
3977AB77-D31,FA2824B3,PROD-0056,1,428.84,2026-03-10 00:59:12,pending
9AF4B934-2FA,D39D8133,PROD-0045,1,473.4,2026-03-23 15:56:54,completed
DED81845-E18,6250B65A,PROD-0043,3,100.63,2025-07-06 13:29:38,cancelled
48678E02-247,D2B44EA6,PROD-0052,1,827.9,2025-12-28 08:55:36,pending
AE9D6DE7-36B,7CA2680F,PROD-0012,1,583.19,2025-12-22 11:58:32,pending
2743B436-693,C094E269,PROD-0066,5,907.35,2025-07-19 14:43:41,pending
DB5885AA-44D,CD3A4133,PROD-0053,3,613.06,2025-10-07 22:22:52,shipped
38A7D759-21D,49934CE0,PROD-0097,1,1397.96,2025-06-21 05:29:11,completed
6EA6A76C-6EA,98284A4A,PROD-0035,3,1025.64,2025-09-20 09:22:23,pending
70319994-459,8C4AA454,PROD-0090,5,493.21,2025-05-19 22:18:47,completed
B6D70A9B-275,82EEA549,PROD-0091,1,587.34,2025-05-12 02:53:42,shipped
007FE014-F61,D74CC506,PROD-0053,1,613.06,2025-12-29 15:53:24,pending
85379DA5-B06,1FFA7A10,PROD-0016,4,1282.35,2025-06-14 05:49:11,cancelled
D0E2D1EA-CB1,DC5A37CF,PROD-0038,4,309.97,2025-09-01 23:37:37,pending
88DAE011-CE6,82EEA549,PROD-0061,2,362.94,2026-02-02 21:44:49,pending
1895C6B2-D91,C091EAEC,PROD-0025,2,210.69,2025-06-24 19:48:57,completed
44CEE380-448,07AE845B,PROD-0036,4,28.2,2025-10-28 03:14:46,completed
71C04E36-BB4,42AC423A,PROD-0065,3,452.86,2025-07-07 20:37:50,cancelled
00BCCA1B-6A5,E3798ACC,PROD-0039,4,676.96,2025-07-13 04:02:01,completed
7D44C836-0F5,F8421EB1,PROD-0058,3,315.01,2025-07-18 00:36:15,shipped
90D43E2F-0E8,8306BB4A,PROD-0098,3,188.74,2025-11-27 23:01:43,completed
E37A3C3C-99C,E03DA8B9,PROD-0090,2,493.21,2025-06-01 12:08:26,pending
A162EFC3-0B8,078C89ED,PROD-0006,4,772.55,2025-10-27 06:17:25,pending
A3ADFBB1-210,8936B041,PROD-0085,2,99.54,2026-01-18 17:41:02,pending
D7BB492B-440,E7D527F6,PROD-0005,5,65.22,2025-12-17 21:55:07,completed
82C6BE26-78F,21898D9A,PROD-0013,1,1196.83,2026-02-23 17:52:57,shipped
F9390062-228,651D8E21,PROD-0059,4,-1.0,2026-03-14 07:58:06,cancelled
84F47B33-0DD,7A094541,PROD-0020,3,73.64,2025-08-31 14:25:20,completed
4BB172C6-CB0,50AB16CB,PROD-0080,1,1130.47,2025-05-19 00:25:32,completed
54DCD69A-1E4,C514DAA4,PROD-0087,3,656.01,2025-12-31 05:58:44,cancelled
2A3DBCA6-DA1,225E3D33,PROD-0092,5,332.35,2026-02-19 16:42:26,completed
BBA14202-D1D,59B761A6,PROD-0080,3,1130.47,2025-06-10 14:22:07,completed
0D07B619-3B6,AD0D6FCD,PROD-0096,1,219.0,2025-04-30 20:06:05,pending
2B9C6FAD-BCC,5BC9B1A1,PROD-0022,1,197.53,2025-12-08 17:39:07,completed
7B70EEA3-C7E,FA6C5C0C,PROD-0042,3,51.75,2025-06-19 06:03:19,completed
1020141D-AA5,72EEF5E6,PROD-0056,4,428.84,2025-05-22 02:45:54,shipped
84C88197-99C,0D4534D8,PROD-0088,2,194.18,2025-07-02 11:01:25,completed
913A685D-E15,13633731,PROD-0079,2,938.31,2025-10-10 02:17:54,pending
CFDD7342-87A,ECEDFFFA,PROD-0075,3,326.21,2025-11-20 01:16:11,pending
5E806506-4BE,DD6B9997,PROD-0033,4,1091.76,2025-09-04 22:18:43,completed
10089A2E-DA3,C13436C7,PROD-0087,4,656.01,2026-01-27 01:07:02,completed
5CFA6039-7AB,B4FC1C9C,PROD-0076,4,642.74,2026-01-30 03:11:11,cancelled
D6373855-CB1,4EBDA15F,PROD-0033,2,1091.76,2025-11-28 00:55:29,pending
9CC59854-485,05058BDB,PROD-0062,5,412.92,2025-07-17 19:11:39,completed
6979DAD8-1B8,C05E46C7,PROD-0074,3,656.29,2025-06-01 20:50:31,completed
A43AEF6C-DBF,9A4FB91A,PROD-0085,5,99.54,2025-04-20 20:12:33,cancelled
D69AD2C2-AB9,0D203B8E,PROD-0100,5,84.09,2025-06-04 20:49:11,cancelled
1766EE84-988,5BC9B1A1,PROD-0064,3,517.61,2026-03-03 18:56:35,completed
86189B24-6F3,3B535049,PROD-0078,2,605.92,2025-07-22 11:12:06,shipped
0789B304-24F,B7101B5F,PROD-0033,2,1091.76,2025-04-12 06:05:33,cancelled
CA30CB29-CB4,16D51E44,PROD-0013,1,1196.83,2025-08-30 10:53:42,completed
906F0CE0-D0A,6E37A182,PROD-0057,2,51.71,2026-01-12 13:11:50,completed
98A77D08-305,E6E16F57,PROD-0038,2,309.97,2025-12-03 18:29:04,completed
9FE554E9-1C4,7AAA6622,PROD-0017,3,770.52,2025-11-19 18:13:15,shipped
7B7B4C25-6FD,2C57A2E4,PROD-0065,2,452.86,2025-08-02 02:42:01,completed
FBF756F2-106,0673D70C,PROD-0062,3,412.92,2025-05-01 07:59:25,completed
B18BACF3-71D,479B590F,PROD-0060,2,648.76,2026-03-17 10:27:18,cancelled
0A7592E0-AFE,FFCC8D88,PROD-0093,5,513.74,2025-09-27 13:58:06,completed
0DEBFF50-F33,9117EBD0,PROD-0012,3,583.19,2026-01-28 23:50:56,shipped
B4A4361D-CFD,71422632,PROD-0016,3,1282.35,2025-08-06 01:43:18,shipped
F5A9310F-D30,70001B89,PROD-0049,3,1060.14,2025-09-17 11:11:18,completed
4F1144DC-C7D,CD097C3F,PROD-0087,5,656.01,2025-06-09 21:48:48,shipped
58C77CF3-6B9,FF0A5A5B,PROD-0042,1,51.75,2025-08-29 01:53:21,cancelled
8EFB6CA5-0B7,4EBDA15F,PROD-0060,4,648.76,2026-01-08 01:39:26,completed
D655393B-E48,CE997F71,PROD-0018,3,981.25,2025-11-22 10:44:26,pending
FD215436-CA4,A2DB22E0,PROD-0015,5,731.27,2025-08-26 06:33:12,completed
51DD3A49-871,5D241861,PROD-0050,5,168.46,2025-04-13 03:07:15,pending
7F89C05A-FD2,CBD7F2E8,PROD-0076,4,642.74,2025-11-13 17:22:25,cancelled
